Jobs.JobName,PrintActions.Destination,Jobs.PrismaJobID,PrintActions.OriginalPages,PrintActions.Copies,datetimeTS,datetimeTE,TimeDifference
422166.SD_028_8_Y_N2_1881_0110.PDF,ProStream02,1728,2660,190,2024-04-02 13:28:00,2024-04-02 13:37:00,9.0
422146.SD_032_8_Y_N2_1881_0135.PDF,ProStream02,1729,3440,215,2024-04-02 13:34:00,2024-04-02 13:44:00,10.0
420791.SD_044_8_Y_N2_1881_0085.PDF,ProStream02,1730,3630,165,2024-04-02 13:41:00,2024-04-02 13:51:00,10.0
428680.SD_028_8_Y_N2_1881_0110.PDF,ProStream02,1731,2660,190,2024-04-02 13:48:00,2024-04-02 13:56:00,8.0
422204.SD_048_8_Y_N2_1881_0155.PDF,ProStream02,1732,5640,235,2024-04-02 13:53:00,2024-04-02 14:07:00,14.0
420615.SD_052_8_Y_N2_1881_0240.PDF,ProStream02,1733,8320,320,2024-04-02 14:05:00,2024-04-02 14:30:00,25.0
429439_SK_368_9_N_N1_2012_1265.PDF,ProStream01,1685,267720,1455,2024-04-02 15:32:00,2024-04-02 15:38:00,6.0
420615.SD_052_8_Y_N2_1881_0240.PDF,ProStream02,1733,8320,320,2024-04-02 15:38:00,2024-04-02 15:54:00,16.0
427807.SD_036_8_Y_N2_1881_0130.PDF,ProStream02,1734,3780,210,2024-04-02 15:52:00,2024-04-02 16:02:00,10.0
421629.SK_072_8_Y_N1_1881_0495.PDF,ProStream02,1607,3600,100,2024-04-02 16:14:00,2024-04-02 16:24:00,10.0
428422.SK_100_8_Y_N1_1812_0185.PDF,ProStream01,1741,13250,265,2024-04-02 16:22:00,2024-04-02 16:54:00,32.0
413508.SK_064_8_Y_N1_1882_0395.PDF,ProStream02,1745,12640,395,2024-04-02 16:33:00,2024-04-02 16:33:00,0.0
412474.SD_032_8_Y_N2_1881_0210.PDF,ProStream02,1735,4640,290,2024-04-02 16:34:00,2024-04-02 16:47:00,13.0
410064.SD_020_8_Y_N2_1881_0135.PDF,ProStream02,1736,2150,215,2024-04-02 16:44:00,2024-04-02 16:51:00,7.0
422179.SD_044_8_Y_N2_1881_0210.PDF,ProStream02,1737,6380,290,2024-04-02 16:48:00,2024-04-02 17:04:00,16.0
402430.SK_208_8_Y_N1_1812_0471.PDF,ProStream01,1742,58344,561,2024-04-02 16:51:00,2024-04-02 18:45:00,114.0
428766.SD_056_8_Y_N2_1881_0135.PDF,ProStream02,1738,6020,215,2024-04-02 17:01:00,2024-04-02 17:16:00,15.0
428827.SD_032_8_Y_N2_1881_0085.PDF,ProStream02,1739,2640,165,2024-04-02 17:13:00,2024-04-02 17:21:00,8.0
423700.SD_056_8_Y_N2_1881_0185.PDF,ProStream02,1740,7420,265,2024-04-02 17:18:00,2024-04-02 17:53:00,35.0
423661.SD_068_8_Y_N1_1882_0275.PDF,ProStream02,1743,12070,355,2024-04-02 18:23:00,2024-04-02 18:27:00,4.0
424835.SD_040_8_Y_N2_1882_0152.PDF,ProStream02,1744,4640,232,2024-04-02 18:29:00,2024-04-02 18:30:00,1.0
402430.SK_208_8_Y_N1_1812_0471.PDF,ProStream01,1742,58344,561,2024-04-02 19:14:00,2024-04-02 20:28:00,74.0
423661.SD_068_8_Y_N1_1882_0275.PDF,ProStream02,1743,12070,355,2024-04-02 19:34:00,2024-04-02 19:44:00,10.0
424835.SD_040_8_Y_N2_1882_0152.PDF,ProStream02,1744,4640,232,2024-04-02 19:48:00,2024-04-02 19:48:00,0.0
423661.SD_068_8_Y_N1_1882_0275.PDF,ProStream02,1743,12070,355,2024-04-02 19:48:00,2024-04-02 19:53:00,5.0
423661.SD_068_8_Y_N1_1882_0275.PDF,ProStream02,1743,12070,355,2024-04-02 19:58:00,2024-04-02 20:26:00,28.0
